sid,cluster_0_ratio,cluster_1_ratio,cluster_2_ratio,cluster_3_ratio,cluster_4_ratio,cluster_5_ratio,cluster_6_ratio,cluster_7_ratio,cluster_8_ratio,cluster_9_ratio
1,0.176470588,0.019607843,0.196078431,0.078431373,0.176470588,0.117647059,0,0.235294118,0,0
2,0.666666667,0.333333333,0,0,0,0,0,0,0,0
3,0.333333333,0.333333333,0,0,0,0,0,0.333333333,0,0
4,0.235294118,0,0.176470588,0.078431373,0.235294118,0.137254902,0,0.137254902,0,0
5,0.62745098,0.37254902,0,0,0,0,0,0,0,0
6,0.254901961,0,0.235294118,0.039215686,0.215686275,0.039215686,0,0.215686275,0,0
7,0,0.37254902,0,0,0,0,0.62745098,0,0,0
8,0.019607843,0,0.019607843,0,0,0.098039216,0,0.62745098,0.235294118,0
9,0.607843137,0.392156863,0,0,0,0,0,0,0,0
10,0,0.37254902,0,0,0,0,0,0.62745098,0,0
11,0,0,0,0.039215686,0,0.156862745,0,0.549019608,0.254901961,0
12,0.549019608,0.450980392,0,0,0,0,0,0,0,0
13,0.254901961,0,0.215686275,0.392156863,0,0.137254902,0,0,0,0
14,0.490196078,0,0,0.039215686,0,0.137254902,0,0.019607843,0.31372549,0
15,0,0.352941176,0,0,0,0,0.647058824,0,0,0
16,0,0.431372549,0,0,0,0,0,0.568627451,0,0
17,0,0.411764706,0,0,0,0,0,0.588235294,0,0
18,0.666666667,0.333333333,0,0,0,0,0,0,0,0
19,0.568627451,0.392156863,0,0,0,0,0.039215686,0,0,0
20,0.137254902,0,0,0,0,0.117647059,0,0.470588235,0.274509804,0
21,0,0,0.235294118,0.098039216,0.254901961,0.039215686,0.333333333,0,0.039215686,0
22,0,0.294117647,0,0,0,0,0.705882353,0,0,0
23,0.37254902,0,0.156862745,0.176470588,0.176470588,0.117647059,0,0,0,0
24,0.019607843,0,0.156862745,0.156862745,0,0.137254902,0,0.392156863,0,0.137254902
25,0,0,0,0,0,0,0,1,0,0
26,0,0,0,0.019607843,0,0.098039216,0,0.647058824,0.235294118,0
27,0,0.568627451,0,0,0,0,0,0.431372549,0,0
28,0,0,0.235294118,0.078431373,0.294117647,0.039215686,0.352941176,0,0,0
29,0.019607843,0,0.215686275,0.098039216,0,0.039215686,0,0.37254902,0,0.254901961
30,0.039215686,0,0.215686275,0.058823529,0,0.078431373,0,0.431372549,0,0.176470588
31,0.666666667,0.333333333,0,0,0,0,0,0,0,0
32,0,0,0.196078431,0.019607843,0,0.098039216,0,0.392156863,0,0.294117647
33,0.568627451,0.352941176,0,0,0,0,0.078431373,0,0,0
34,0.098039216,0,0.294117647,0.078431373,0.235294118,0.058823529,0,0.235294118,0,0
35,0.215686275,0,0.176470588,0.098039216,0.254901961,0.137254902,0,0.117647059,0,0
36,0.588235294,0,0.117647059,0.078431373,0.137254902,0.058823529,0,0,0.019607843,0
37,0,0.352941176,0,0,0,0,0.647058824,0,0,0
38,0.549019608,0.450980392,0,0,0,0,0,0,0,0
39,0.568627451,0,0.117647059,0.058823529,0.117647059,0.098039216,0.019607843,0.019607843,0,0
40,0.274509804,0,0,0,0,0.098039216,0,0.37254902,0.254901961,0
41,0,0.352941176,0,0,0,0,0,0.647058824,0,0
42,0.039215686,0.019607843,0.176470588,0.019607843,0.019607843,0.098039216,0,0.431372549,0,0.196078431
43,0.490196078,0,0.117647059,0.078431373,0.098039216,0.117647059,0,0.098039216,0,0
44,0.588235294,0,0,0,0,0.078431373,0,0,0.333333333,0
45,0.490196078,0.490196078,0,0,0,0,0.019607843,0,0,0
46,0,0.019607843,0,0,0,0,0.68627451,0,0.294117647,0
47,0.568627451,0.431372549,0,0,0,0,0,0,0,0
48,0,0.352941176,0,0,0,0,0.647058824,0,0,0
49,0,0.450980392,0,0,0,0,0.549019608,0,0,0
50,0.529411765,0,0,0,0,0.078431373,0,0,0.392156863,0
51,0.039215686,0,0.294117647,0.098039216,0.274509804,0.078431373,0,0.215686275,0,0
52,0.254901961,0.529411765,0,0,0,0,0,0.215686275,0,0
53,0,0.294117647,0,0,0,0,0,0.705882353,0,0
54,0,0.333333333,0,0,0,0,0.666666667,0,0,0
55,0,0.294117647,0,0,0,0,0.705882353,0,0,0
56,0,0.411764706,0,0,0,0,0,0.588235294,0,0
57,0.333333333,0,0.196078431,0.058823529,0.196078431,0.078431373,0,0.137254902,0,0
